test_id,area,scenario,required,build_profile,app_version,ios_device,ios_version,result,severity,offline_mode,notes,evidence
fresh-install,onboarding,Fresh install and onboarding,yes,,,,,,none,no,,
local-reset,core-flow,Skip text input and complete a local reset,yes,,,,,,none,no,,
route-coverage,recommendation,All six modes and 1/3/5/10-minute route coverage,yes,,,,,,none,no,,
practice-lifecycle,practice,Pause background resume stop and complete,yes,,,,,,none,no,,
airplane-mode,offline,Airplane mode from launch through saved reflection,yes,,,,,,none,yes,,
ai-fallback,ai,AI opt-in success timeout malformed response and fallback,yes,,,,,,none,no,,
notifications,permissions,Notification permission denied and granted,yes,,,,,,none,no,,
preference-exclusions,preferences,Haptics off body focus off breath change off eyes-open preference,yes,,,,,,none,no,,
accessibility,accessibility,Dynamic Type VoiceOver labels Reduce Motion and high contrast,yes,,,,,,none,no,,
privacy-controls,privacy,Individual session delete export and delete all,yes,,,,,,none,no,,
legal-links,legal,Privacy and terms links open production URLs,yes,,,,,,none,no,,
support-link,support,Public support and seed-test handoff links open production URLs,yes,,,,,,none,no,,
issue-templates,support,Issue templates for bug experience and safety feedback are reachable,yes,,,,,,none,no,,
restart-persistence,storage,Device restart persistence,yes,,,,,,none,no,,
reviewer-path,app-review,Reviewer can reach value without account payment microphone or AI,yes,,,,,,none,no,,
